藥品代碼,中文名稱,劑型,製造廠名稱,效能名稱,基準方名,發證日期,有效期間,收載日,不再收載日,備註
A007916,〞明通〞定志丸濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,安神之劑,定志丸,20130709,20190525,,,
A008122,”復旦”濃縮四逆散,濃縮粉劑,復旦製藥廠股份有限公司,和解之劑,四逆散,19751119,20190525,,,
A008123,”復旦”滋陰降火湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,滋陰降火湯,19980818,20190525,,,
A008128,〞明通〞三子養親湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪痰之劑,三子養親湯,19751119,20190525,,,
A008241,”復旦”清暑益氣湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清暑之劑,消暑益氣湯,19980819,20190525,,,
A008334,〞明通〞桂枝芍藥知母湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪風之劑,桂枝芍藥知母湯,20130617,20190525,,,
A008337,”復旦”柴胡清肝湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,清熱瀉火之,柴胡清肝湯,19750812,20190525,,,
A008338,”復旦”香薷飲濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清暑之劑,香薷飲,19980819,20190525,,,
A008339,”復旦” 濃縮瀉黃散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,清熱瀉火之,瀉黃散,19750812,20190525,,,
A008340,”復旦”厚朴溫中湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,袪寒之劑,厚朴溫中湯,19750812,20190525,,,
A008341,”復旦”胃苓湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,消導之劑,胃苓湯,19750812,20190525,,,
A008342,”復旦”滋腎明目湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,補養之劑,滋腎明目湯,19750812,20190525,,,
A008649,〞明通〞涼血地黃湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理血之劑,涼血地黃湯,20130606,20190525,,,
A008654,”復旦”當歸拈痛湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,袪風之劑,當歸拈痛湯,20040726,20190525,,,
A008655,”復旦” 濃縮當歸芍藥散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,經產之劑,當歸芍藥散,19751231,20190525,,,
A008656,”復旦” 濃縮抑肝散,濃縮粉劑,復旦製藥廠股份有限公司,安神之劑,抑肝散,19751231,20190525,,,
A008657,”復旦”桔梗湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,袪痰之劑,桔梗湯,19751231,20190525,,,
A008660,”復旦”生脈飲濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,清暑之劑,生脈飲,19751231,20190525,,,
A008701,〞明通〞小薊飲子濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理血之劑,小薊飲子,20130628,20190525,,,
A008802,〞明通〞當歸飲子濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,癰瘍之劑,當歸飲子,20130628,20190525,,,
A008803,〞明通〞紫菀湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,補養之劑,紫菀湯,19990915,20190525,,,
A008805,〞明通〞小承氣湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,攻裡之劑,小承氣湯,20130709,20190525,,,
A008806,〞明通〞小建中湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪寒之劑,小建中湯,20130715,20190525,,,
A008807,〞明通〞橘核丸濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理氣之劑,橘核丸,20130714,20190525,,,
A009421,〞明通〞桂枝麻黃各半湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,桂麻各半湯,20130714,20190525,,,
A009516,"""東陽""逍遙散濃縮散",濃縮散劑,東陽製藥股份有限公司,和解之劑,逍遙散,19980408,20190525,,,
A009517,"""東陽""烏藥順氣散濃縮散",濃縮散劑,東陽製藥股份有限公司,理氣之劑,烏藥順氣散,19980408,20190525,,,
A009518,"""東陽""小建中湯濃縮散",濃縮散劑,東陽製藥股份有限公司,袪寒之劑,小建中湯,19760420,20190525,,,
A009519,"""東陽""五積散濃縮散",濃縮散劑,東陽製藥股份有限公司,表裡之劑,五積散,20050715,20190525,,,
A009520,"""東陽""五皮飲濃縮散",濃縮散劑,東陽製藥股份有限公司,利濕之劑,五皮飲,19980402,20190525,,,
A009521,"""東陽""麻子仁丸濃縮散",濃縮散劑,東陽製藥股份有限公司,潤燥之劑,麻子仁丸,20130308,20190525,,,
A009522,"""東陽""加味逍遙散濃縮散",濃縮散劑,東陽製藥股份有限公司,和解之劑,丹梔逍遙散,19980408,20190525,,,
A009523,"""東陽""乙字湯濃縮散",濃縮散劑,東陽製藥股份有限公司,癰瘍之劑,乙字湯,20130203,20190525,,,
A009524,"""東陽""厚朴溫中湯濃縮散",濃縮散劑,東陽製藥股份有限公司,袪寒之劑,厚朴溫中湯,20130130,20190525,,,
A009525,"""東陽""八味帶下方濃縮散",濃縮散劑,東陽製藥股份有限公司,經產之劑,八味帶下方,20130125,20190525,,,
A009526,“東陽”萆薢分清飲濃縮散,濃縮散劑,東陽製藥股份有限公司,利濕之劑,萆薢分清飲,19760420,20140525,,,
A009527,"""東陽""白虎湯濃縮散",濃縮散劑,東陽製藥股份有限公司,清熱瀉火之劑,白虎湯,19980402,20190525,,,
A009528,"""東陽""八正散濃縮散",濃縮散劑,東陽製藥股份有限公司,利濕之劑,八正散,19980420,20190525,,,
A009530,”復旦”知柏地黃丸濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,知柏地黃丸,19980818,20190525,,,
A009531,”復旦”杏蘇飲濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,表裡之劑,杏蘇飲,19760420,20190525,,,
A009532,"""東陽""防風通聖散濃縮散",濃縮散劑,東陽製藥股份有限公司,表裡之劑,防風通聖散,20130205,20190525,,,
