藥品代碼,中文名稱,劑型,製造廠名稱,效能名稱,基準方名,發證日期,有效期間,收載日,不再收載日,備註
A002564,〞勝昌〞白虎加人參湯濃縮散　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,清暑之劑,白虎加人參,20130514,20190525,,,
A002575,〞勝昌〞葛根湯濃縮顆粒　　　　　,濃縮顆粒劑,勝昌製藥廠股份有限公司中壢廠,發表之劑,葛根湯,20130425,20190525,,,
A002576,〞勝昌〞五苓散濃縮顆粒,濃縮顆粒劑,勝昌製藥廠股份有限公司中壢廠,利濕之劑,五苓散,20130425,20190525,,,
A002578,〞勝昌〞小承氣湯濃縮散　　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,攻裡之劑,小承氣湯,20130510,20190525,,,
A002895,〞勝昌〞葛根湯濃縮錠　　　　　　,濃縮錠劑,勝昌製藥廠股份有限公司中壢廠,發表之劑,葛根湯,19971212,20190525,,,
A002897,〞勝昌〞桂枝湯濃縮錠　　　　　　,濃縮錠劑,勝昌製藥廠股份有限公司中壢廠,發表之劑,桂枝湯,19971212,20190525,,,
A002898,〞勝昌〞清咽利膈湯濃縮顆粒　　　,濃縮顆粒劑,勝昌製藥廠股份有限公司,清熱瀉火之,清心利膈湯,19730518,20140525,,,
A002899,〞勝昌〞竹葉石膏湯濃縮散　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,清暑之劑,竹葉石膏湯,19971212,20190525,,,
A002900,〞勝昌〞消風散濃縮散　　　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,袪風之劑,消風散,19971212,20190525,,,
A002902,〞勝昌〞清咽利膈湯濃縮散　　　　,濃縮散劑,勝昌製藥廠股份有限公司,清熱瀉火之,清心利膈湯,19730518,20140525,,,
A002944,〞勝昌〞黃連解毒湯濃縮錠　　　　,濃縮錠劑,勝昌製藥廠股份有限公司中壢廠,清熱瀉火之,黃連解毒湯,19971212,20190525,,,
A003513,〞明通〞天王補心丹濃縮顆粒,濃縮顆粒劑,明通化學製藥股份有限公司第二廠,安神之劑,天王補心丹,20130614,20190525,,,
A003520,〞明通〞防風通聖散濃縮顆粒,濃縮顆粒劑,明通化學製藥股份有限公司第二廠,表裡之劑,防風通聖散,20130524,20190525,,,
A003521,〞明通〞八珍湯濃縮顆粒,濃縮顆粒劑,明通化學製藥股份有限公司第二廠,補養之劑,八珍湯,19990807,20190525,,,
A003523,〞勝昌〞當歸拈痛湯濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,袪風之劑,當歸拈痛湯,20130502,20190525,,,
A003716,〞勝昌〞茵陳五苓散濃縮散　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,利濕之劑,茵陳五苓散,19971212,20190525,,,
A003888,〞勝昌〞桂枝茯苓丸濃縮顆粒　　　,濃縮顆粒劑,勝昌製藥廠股份有限公司中壢廠,理血之劑,桂枝茯苓丸,20130730,20190525,,,
A004088,〞明通〞葛根湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,葛根湯,19981119,20190525,,,
A004092,〞明通〞麻黃湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,麻黃湯,19980409,20190525,,,
A005398,〞勝昌〞桂枝加芍藥湯濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,表裡之劑,桂枝加芍藥,20130509,20190525,,,
A005399,〞明通〞芍藥湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理血之劑,芍藥湯,20130614,20190525,,,
A005403,〞明通〞小青龍湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,小青龍湯,19981222,20190525,,,
A005457,〞勝昌〞小青龍湯濃縮顆粒　　　　,濃縮顆粒劑,勝昌製藥廠股份有限公司中壢廠,發表之劑,小青龍湯,19971212,20190525,,,
A005461,〞明通〞定喘湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理氣之劑,定喘湯,19980629,20190525,,,
A005463,〞明通〞瀉白散濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,清熱瀉火之劑,瀉白散,20130621,20191231,,,
A005466,〞明通〞小柴胡湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,和解之劑,小柴胡湯,20130614,20190525,,,
A005468,〞明通〞金沸草散濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪痰之劑,金沸草散,19980616,20190525,,,
A005470,〞明通〞溫膽湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,安神之劑,溫膽湯,19741227,20190525,,,
A005472,〞明通〞麻杏甘石湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,麻杏甘石湯,19971218,20190525,,,
A005477,〞明通〞代赭旋覆湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理氣之劑,旋覆代赭石湯,20130614,20190525,,,
A005562,〞明通〞人參養榮湯濃縮顆粒,濃縮顆粒劑,明通化學製藥股份有限公司第二廠,補養之劑,人參養榮湯,19991201,20190525,,,
A005675,〞勝昌〞半夏厚朴湯濃縮顆粒　　　,濃縮顆粒劑,勝昌製藥廠股份有限公司中壢廠,理氣之劑,半夏厚朴湯,20130425,20190525,,,
A006017,〞明通〞加味平胃散濃縮顆粒,濃縮顆粒劑,明通化學製藥股份有限公司第二廠,消導之劑,加味平胃散,20130606,20190525,,,
A006024,〞明通〞清肺飲濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪痰之劑,清肺飲,20130626,20190525,,,
A006028,〞明通〞二朮湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,利濕之劑,二朮湯,20130614,20190525,,,
A006039,〞明通〞四逆湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪寒之劑,四逆湯,20130614,20190525,,,
A006041,〞明通〞橘皮竹茹湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理氣之劑,橘皮竹茹湯,20130621,20190525,,,
A006060,”復旦”桂枝茯苓丸濃縮散,濃縮散劑,復旦製藥廠股份有限公司,理血之劑,桂枝茯苓丸,20040726,20190525,,,
A006061,”復旦”半夏厚朴湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,理氣之劑,半夏厚朴湯,19750317,20190525,,,
A006071,〞明通〞散腫潰堅湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,癰瘍之劑,散腫潰堅湯,19980619,20190525,,,
A006072,〞明通〞烏藥順氣散濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理氣之劑,烏藥順氣散,19980624,20190525,,,
A006074,〞明通〞導水茯苓湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,利濕之劑,導水茯苓湯,19980624,20190525,,,
A006079,〞明通〞大黃牡丹皮湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理血之劑,大黃牡丹皮湯,20130621,20190525,,,
A006116,”復旦”加味溫膽湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司,安神之劑,溫膽湯,19750318,20190525,,,
A006117,”復旦”麻杏石甘湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,麻杏甘石湯,19980818,20190525,,,
A006118,”復旦”乙字湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司,癰瘍之劑,乙字湯,19750318,20190525,,,
A006119,”復旦”天王補心丹濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,安神之劑,天王補心丹,19750318,20190525,,,
A006121,”復旦”金沸草散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,袪痰之劑,金沸草散,19980819,20190525,,,
A006122,”復旦” 濃縮瀉白散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,清熱瀉火之,瀉白散,19750318,20190525,,,
A006150,〞明通〞濟生腎氣丸濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,補養之劑,濟生腎氣丸,19981015,20190525,,,
A006152,〞明通〞滋腎明目湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,補養之劑,滋腎明目湯,20130605,20190525,,,
A006153,〞明通〞滋腎通耳丸濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,補養之劑,滋腎通耳湯,20130621,20190525,,,
A006155,〞明通〞調胃承氣湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,攻裡之劑,調胃承氣湯,20130621,20190525,,,
A006158,”復旦”十神湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,發表之劑,十神湯,19750322,20190525,,,
A006333,〞明通〞竹茹溫膽湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,和解之劑,竹茹溫膽湯,20130621,20190525,,,
A006416,〞明通〞五皮飲濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,利濕之劑,五皮飲,19980624,20190525,,,
A006434,〞明通〞香砂六君子湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,消導之劑,香砂六君子湯,19980619,20190525,,,
A006466,〞明通〞厚朴溫中湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪寒之劑,厚朴溫中湯,20130614,20190525,,,
A006577,〞勝昌〞桂枝茯苓丸濃縮散,濃縮粉劑,勝昌製藥廠股份有限公司中壢廠,理血之劑,桂枝茯苓丸,20130509,20190525,,,
A006663,”復旦”柴胡桂枝湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,表裡之劑,柴胡桂枝湯,19750616,20190525,,,
A006664,”復旦”大柴胡湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,表裡之劑,大柴胡湯,19750616,20190525,,,
A006665,”復旦”香蘇散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,表裡之劑,香蘇飲,19980818,20190525,,,
A006666,”復旦”茵陳蒿湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,利濕之劑,茵陳蒿湯,19750616,20190525,,,
A006667,”復旦”白虎湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,白虎湯,19980819,20190525,,,
A006668,”復旦”消風散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,袪風之劑,消風散,19980819,20190525,,,
A006669,”復旦”獨活寄生湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,袪風之劑,獨活寄生湯,19980818,20190525,,,
A006670,”復旦”金鎖固精丸濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,收濇之劑,金鎖固精丸,19750616,20190525,,,
A006672,”復旦”涼膈散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,涼膈散,19990315,20190525,,,
A006673,”復旦”六君子湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,六君子湯(,19980818,20190525,,,
A006674,”復旦”八味帶下方濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,經產之劑,八味帶下方,19750616,20190525,,,
A006708,”復旦”川芎茶調散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,川芎茶調散,19980818,20190525,,,
A006709,”復旦”參苓白朮散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,參苓白朮散,19980818,20190525,,,
A006710,”復旦”芎歸膠艾湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,經產之劑,芎歸膠艾湯,19750620,20190525,,,
A006711,”復旦”清胃散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,清胃散,19980819,20190525,,,
A006712,”復旦” 濃縮銀翹散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,表裡之劑,銀翹散,19750620,20190525,,,
A006714,”復旦”濃縮安中散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,消導之劑,安中散,19750620,20190525,,,
A006715,”復旦”升麻葛根湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,發表之劑,升麻葛根湯,19750620,20190525,,,
A006716,”復旦”麥門冬湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,潤燥之劑,麥門冬湯,19750620,20190525,,,
A006717,”復旦”清燥救肺湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,潤燥之劑,清燥救肺湯,19980819,20190525,,,
A006718,”復旦”參蘇飲濃縮散,濃縮散劑,復旦製藥廠股份有限公司,表裡之劑,參蘇飲,19980819,20190525,,,
A006719,”復旦”半夏白朮天朮湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,袪痰之劑,半夏天麻白,19750620,20190525,,,
A006730,〞明通〞洗肝明目散濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,清熱瀉火之劑,洗肝明目湯,20130626,20190525,,,
A006731,〞明通〞桃核承氣湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,攻裡之劑,桃仁承氣湯,20130617,20190525,,,
A006754,〞明通〞葛花解醒湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,消導之劑,葛花解酲湯,20130614,20190525,,,
A006917,〞明通〞小半夏加茯苓湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,利濕之劑,小半夏加茯苓湯,20130614,20190525,,,
A007006,〞明通〞十全大補湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,補養之劑,十全大補湯,19990823,20190525,,,
A007100,〞明通〞十六味流氣飲濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,癰瘍之劑,十六味流氣飲,20130626,20190525,,,
A007102,”復旦”補陽還五湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,理血之劑,補陽還五湯,19980818,20190525,,,
A007103,”復旦”葛根湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,葛根湯,19980818,20190525,,,
A007104,”復旦”小青龍湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,小青龍湯,19980818,20190525,,,
A007105,”復旦”半夏瀉心湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,清熱瀉火之,半夏瀉心湯,19751108,20190525,,,
A007106,”復旦”甘露飲濃縮散,濃縮散劑,復旦製藥廠股份有限公司,潤燥之劑,甘露飲,19980818,20190525,,,
A007109,”復旦”黃連解毒湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,黃連解毒湯,19980819,20190525,,,
A007183,〞明通〞十神湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,十神湯,20130614,20190525,,,
A007291,〞勝昌〞聖愈湯濃縮散　　　　　　,濃縮粉劑,勝昌製藥廠股份有限公司中壢廠,補養之劑,聖愈湯,20130510,20190525,,,
A007293,〞勝昌〞桑螵蛸散濃縮散　　　　　,濃縮粉劑,勝昌製藥廠股份有限公司中壢廠,收濇之劑,桑螵蛸飲,20130509,20190525,,,
A007295,〞勝昌〞玉女煎濃縮散　　　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,清熱瀉火之,玉女煎,19971212,20190525,,,
A007297,〞勝昌〞炙甘草湯濃縮散　　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,潤燥之劑,炙甘草湯,19980705,20190525,,,
A007298,〞勝昌〞烏藥順氣散濃縮散　　　　　　,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,理氣之劑,烏藥順氣散,19971212,20190525,,,
A007299,〞勝昌〞木香檳榔丸濃縮散　　　　,濃縮粉劑,勝昌製藥廠股份有限公司中壢廠,攻裡之劑,木香檳榔丸,20130514,20190525,,,
A007302,〞勝昌〞連翹敗毒散濃縮散　　　　,濃縮粉劑,勝昌製藥廠股份有限公司中壢廠,癰瘍之劑,連翹敗毒散,20130506,20190525,,,
A007303,〞勝昌〞二朮湯濃縮散　　　　　　,濃縮粉劑,勝昌製藥廠股份有限公司中壢廠,利濕之劑,二朮湯,20130510,20190525,,,
A007304,”復旦”木香檳榔丸濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,攻裡之劑,木香檳榔丸,19750809,20190525,,,
A007305,”復旦”八正散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,利濕之劑,八正散,19980819,20190525,,,
A007306,”復旦”華蓋散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,袪痰之劑,華蓋散,19980818,20190525,,,
A007307,”復旦”麻子仁丸濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,潤燥之劑,麻子仁丸,19751009,20190525,,,
A007308,”復旦”六和湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,和解之劑,六和湯,19751009,20190525,,,
A007309,”復旦”導赤散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,導赤散,19980819,20190525,,,
A007310,”復旦”麻杏薏甘湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,麻杏薏甘湯,19980818,20190525,,,
A007311,”復旦”人參敗毒湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,人參敗毒散,19980818,20190525,,,
A007312,”復旦”竹葉石膏湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清暑之劑,竹葉石膏湯,19980818,20190525,,,
A007316,〞明通〞小續命湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪風之劑,小續命湯,19981124,20190525,,,
A007318,〞明通〞四味香薷飲濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,清暑之劑,四味香薷飲,20130614,20190525,,,
A007321,〞明通〞健脾丸濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,消導之劑,健脾丸,20130618,20190525,,,
A007325,〞明通〞加味逍遙散濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,和解之劑,加味逍遙散,19980410,20190525,,,
A007326,〞明通〞九味羌活湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,發表之劑,九味羌活湯,19990822,20190525,,,
A007574,〞明通〞清涼飲濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,清熱瀉火之劑,清涼散,20130624,20190525,,,
A007844,”復旦”九味羌活湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,九味羌活湯,19980819,20190525,,,
A007845,”復旦”甘麥大棗湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,安神之劑,甘麥大棗湯,19751027,20190525,,,
A007846,”復旦”濃縮千金內託散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,癰瘍之劑,千金內托散,19751027,20190525,,,
A007847,”復旦”三黃瀉心湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,清熱瀉火之,三黃瀉心湯,19751027,20190525,,,
A007848,”復旦” 濃縮辛夷散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,發表之劑,辛夷散,19751027,20190525,,,
A007849,”復旦”十全大補湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,十全大補湯,19980821,20190525,,,
A007850,”復旦”麻黃湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,發表之劑,麻黃湯,19980819,20190525,,,
A007851,”復旦”當歸六黃湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,收濇之劑,當歸六黃湯,19980818,20190525,,,
A007853,”復旦”八味地黃丸濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,八味地黃丸,19980818,20190525,,,
A007854,”復旦”仙方活命飲濃縮細粒(去穿山甲),濃縮顆粒劑,復旦製藥廠股份有限公司,癰瘍之劑,真人活命飲,20051025,20190525,,,
A007855,”復旦”清咽利膈湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司,清熱瀉火之,清心利膈湯,19751027,20190525,,,
A007856,”復旦”清心蓮子飲濃縮散,濃縮散劑,復旦製藥廠股份有限公司,清熱瀉火之,清心蓮子飲,19980818,20190525,,,
A007857,”復旦”桑螵蛸散濃縮散,濃縮粉劑,復旦製藥廠股份有限公司,收濇之劑,桑螵蛸飲,19751027,20190525,,,
A007858,”復旦”桑菊飲濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,表裡之劑,桑菊飲,19751027,20190525,,,
A007859,”復旦”五積散濃縮散,濃縮散劑,復旦製藥廠股份有限公司,表裡之劑,五積散,19980818,20190525,,,
A007861,”復旦”益氣聰明湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,益氣聰明湯,19980819,20190525,,,
A007862,”復旦”四君子湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,四君子湯,19980818,20190525,,,
A007863,”復旦”十三味安胎飲濃縮散,濃縮粉劑,復旦製藥廠股份有限公司,經產之劑,保產無憂方,19751027,20190525,,,
A007864,”復旦”苓桂朮甘湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,利濕之劑,苓桂朮甘湯,19751027,20190525,,,
A007866,”復旦”酸棗仁湯濃縮散,濃縮粉劑,復旦製藥廠股份有限公司復興廠,安神之劑,酸棗仁湯,19751027,20190525,,,
A007868,”復旦”百合固金湯濃縮散,濃縮散劑,復旦製藥廠股份有限公司,補養之劑,百合固金湯,19980818,20190525,,,
A007871,"""復旦""定喘湯濃縮散",濃縮散劑,復旦製藥廠股份有限公司,理氣之劑,定喘湯,19980819,20190725,,,
A007901,〞明通〞正骨紫金丹濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,理血之劑,正骨紫金丹,19990824,20190525,,,
A007909,〞明通〞溫經湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,經產之劑,溫經湯,20130619,20190525,,,
A007911,〞明通〞大秦艽湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,袪風之劑,大秦艽湯,20130709,20190525,,,
A007913,〞明通〞補中益氣湯濃縮散,濃縮散劑,明通化學製藥股份有限公司第二廠,補養之劑,補中益氣湯,19981126,20190525,,,
