藥品代碼,中文名稱,劑型,製造廠名稱,發證日期,有效期間,收載日,不再收載日,備註
A001134,"""""""順天堂""""人參濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,19720609,20140525,,,
A001135,"""順天堂""薤白濃縮顆粒",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130903,20190525,,,
A001139,"""""""順天堂""""蓮鬚濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A001267,"""""""順天堂""""瞿麥濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A001268,"""""""順天堂""""敗醬草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A001269,"""""""順天堂""""萊菔子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130714,20190525,,,
A001270,"""""""順天堂""""蘇子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130714,20190525,,,
A001271,"""""""順天堂""""紫花地丁濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130830,20190525,,,
A001272,"""""""順天堂""""鎖陽濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130904,20190525,,,
A001273,"""""""順天堂""""漏蘆濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A001274,"""""""順天堂""""龍眼花濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A001275,"""""""順天堂""""橘紅濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130830,20190525,,,
A001278,"""""""順天堂""""豬膽濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A001279,"""""""順天堂""""白雞冠花濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A001281,"""""""順天堂""""蒼耳子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A001282,"""""""順天堂""""蒺藜濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130830,20190525,,,
A001356,"""""""順天堂""""通草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A001357,"""""""順天堂""""覆盆子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A001566,"""""""順天堂""""麻黃根濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A001587,"""""""順天堂""""狗脊濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A001588,"""""""順天堂""""黃精濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130903,20190525,,,
A001710,"""""""順天堂""""車前草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A001711,"""""""順天堂""""益智仁濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A001712,"""""""順天堂""""番麥鬚濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130624,20190525,,,
A001835,"""""""順天堂""""五倍子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002021,"""""""順天堂""""蕎麥濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002022,"""""""順天堂""""黃金桂濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002024,"""""""順天堂""""佛手濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131004,20190525,,,
A002026,"""""""順天堂""""路路通濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A002033,"""""""順天堂""""大風草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002034,"""""""順天堂""""一枝香濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002035,"""""""順天堂""""白椿根濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002036,"""""""順天堂""""化石草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130624,20190525,,,
A002037,"""""""順天堂""""曼陀羅花濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002038,"""""""順天堂""""沒藥濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A002039,"""""""順天堂""""萬點金濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002040,"""""""順天堂""""九層塔濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130802,20190525,,,
A002041,"""""""順天堂""""大風藤濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130805,20190525,,,
A002042,"""""""順天堂""""白花蓮濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130731,20190525,,,
A002043,"""""""順天堂""""赤芍濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130624,20190525,,,
A002060,"""""""順天堂""""阿膠濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A002061,"""""""順天堂""""水丁香濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002062,"""""""順天堂""""白花草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002063,"""""""順天堂""""板藍根濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131004,20190525,,,
A002064,"""""""順天堂""""丁豎杇濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130802,20190525,,,
A002065,"""""""順天堂""""肉豆蔻濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130628,20190525,,,
A002066,"""""""順天堂""""白扁豆濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131003,20191025,,,
A002067,"""""""順天堂""""佩蘭濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130830,20190525,,,
A002337,"""""""順天堂""""筆仔草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002338,"""""""順天堂""""桑枝濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A002339,"""""""順天堂""""橘核濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A002340,"""""""順天堂""""白薇濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002347,"""""""順天堂""""萹蓄濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002348,"""""""順天堂""""骨碎補濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130714,20190525,,,
A002349,"""""""順天堂""""訶子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A002350,"""""""順天堂""""石榴皮濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130731,20190525,,,
A002351,"""""""順天堂""""韭菜子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A002433,"""""""順天堂""""馬蹄金濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A002434,"""""""順天堂""""蘆根濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A002435,"""""""順天堂""""定經草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002436,"""""""順天堂""""紫草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130624,20190525,,,
A002437,"""""""順天堂""""使君子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002446,"""""""順天堂""""青葙子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002447,"""""""順天堂""""赤小豆濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131004,20190525,,,
A002448,"""""""順天堂""""烏甜濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A002450,"""""""順天堂""""地膚子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A002451,"""""""順天堂""""倒地蜈蚣濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A002452,"""""""順天堂""""白前濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002454,"""""""順天堂""""郁李仁濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130904,20190525,,,
A002455,"""""""順天堂""""赤苓濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
