藥品代碼,中文名稱,劑型,製造廠名稱,發證日期,有效期間,收載日,不再收載日,備註
A002456,"""""""順天堂""""生地黃濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130624,20190525,,,
A002457,"""""""順天堂""""昆布濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002458,"""""""順天堂""""栝樓皮濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002459,"""""""順天堂""""藕節濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130830,20190525,,,
A002460,"""""""順天堂""""蒜頭濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002461,"""""""順天堂""""蕤仁濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002463,"""""""順天堂""""白豆蔻濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131003,20190525,,,
A002505,"""""""順天堂""""鵝不食草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A002523,"""""""順天堂""""雞香藤濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002524,"""""""順天堂""""百部濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130617,20190525,,,
A002526,"""順天堂""白蘞濃縮顆粒",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A002527,"""""""順天堂""""茺蔚子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130714,20190525,,,
A002528,"""""""順天堂""""不留行濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130829,20190525,,,
A002529,"""""""順天堂""""白鮮皮濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130620,20190525,,,
A002534,"""""""順天堂""""旱蓮草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A002535,"""""""順天堂""""冬葵子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131003,20190525,,,
A002536,"""""""順天堂""""合歡皮濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130829,20190525,,,
A002537,"""""""順天堂""""巴戟天濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131004,20190525,,,
A002541,"""""""順天堂""""降真香濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002544,〞勝昌〞薄荷濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130813,20190525,,,
A002545,〞勝昌〞遠志濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,19730307,20190525,,,
A002546,〞勝昌〞車前子濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130809,20190525,,,
A002547,〞勝昌〞大黃濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130717,20190525,,,
A002590,〞勝昌〞茯苓濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130729,20190525,,,
A002805,〞勝昌〞芍藥濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130709,20190525,,,
A002806,〞勝昌〞延胡索濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130715,20190525,,,
A002807,〞勝昌〞吳茱萸濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130813,20190525,,,
A002808,〞勝昌〞杏仁濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130809,20190525,,,
A002809,〞勝昌〞山查濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130714,20190525,,,
A002810,〞勝昌〞黃柏濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130812,20190525,,,
A002811,〞勝昌〞薏苡仁濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130626,20190525,,,
A002812,"""""""順天堂""""密蒙花濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002814,"""""""順天堂""""乳香濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130902,20190525,,,
A002815,"""""""順天堂""""沙苑子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002816,"""""""順天堂""""草豆蔻濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002818,"""""""順天堂""""千年健濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002819,〞勝昌〞知母濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130806,20190525,,,
A002820,〞勝昌〞柴胡濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130806,20190525,,,
A002821,〞勝昌〞防己濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130809,20190525,,,
A002822,"""""""順天堂""""浮小麥濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A002825,"""""""順天堂""""草果濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130802,20190525,,,
A002827,"""""""順天堂""""蓮子心濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002833,〞勝昌〞陳皮濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130729,20190525,,,
A002834,〞勝昌〞牡蠣濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130605,20190525,,,
A002835,〞勝昌〞梔子濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130715,20190525,,,
A002878,"""順天堂""豨薟草濃縮顆粒",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A002879,"""""""順天堂""""荔枝核濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002880,"""""""順天堂""""夜交藤濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130830,20190525,,,
A002882,"""""""順天堂""""仙鶴草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130824,20190525,,,
A002883,"""""""順天堂""""鳥不宿濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A002885,"""""""順天堂""""穿山龍濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A002886,"""""""順天堂""""雞骨草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A002889,"""""""順天堂""""大小薊濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002890,"""""""順天堂""""檀香濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A002891,"""""""順天堂""""小金櫻濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A002892,"""順天堂""桑寄生濃縮顆粒",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20121025,20190525,,,
A002913,"""""""順天堂""""枳椇子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130730,20190525,,,
A003028,"""""""順天堂""""神?濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130904,20190525,,,
A003029,"""""""順天堂""""椿根白皮濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A003030,"""""""順天堂""""鳳尾草濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A003031,"""""""順天堂""""黃水茄濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130808,20190525,,,
A003032,"""""""順天堂""""皂刺濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A003033,"""""""順天堂""""絲瓜絡濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130904,20190525,,,
A003034,"""""""順天堂""""?白濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130913,20190525,,,
A003035,"""""""順天堂""""玉竹濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130829,20190525,,,
A003036,"""""""順天堂""""大丁?濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A003038,"""""""順天堂""""雞血藤濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130714,20190525,,,
A003040,"""""""順天堂""""紫蘇梗濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A003041,"""""""順天堂""""胡桃濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,19730618,20140525,,,
A003042,"""順天堂""仙茅濃縮顆粒",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20131004,20190525,,,
A003043,"""""""順天堂""""內金濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130614,20190525,,,
A003044,"""""""順天堂""""白殭蠶濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130624,20190525,,,
A003047,"""""""順天堂""""楮實子濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130807,20190525,,,
A003048,"""""""順天堂""""千里光濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A003049,"""""""順天堂""""劉寄奴濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130815,20190525,,,
A003051,"""""""順天堂""""大金櫻濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A003052,"""""""順天堂""""?梧濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130813,20190525,,,
A003053,〞勝昌〞牡丹皮濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130626,20190525,,,
A003058,〞勝昌〞桑白皮濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130715,20190525,,,
A003198,"""""""順天堂""""淡豆豉濃縮細粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130714,20190525,,,
A003207,"""順天堂""大葉千斤拔濃縮顆粒",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20140513,20190525,,,
A003208,"""""""順天堂""""谷精濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130626,20190525,,,
A003209,"""""""順天堂""""肉豆根濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130729,20190525,,,
A003210,〞勝昌〞白朮濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130708,20190525,,,
A003283,"""""""明通""""知母濃縮粉""",濃縮粉劑,明通化學製藥股份有限公司第二廠,20130730,20190525,,,
A003284,〞勝昌〞川牛膝濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130709,20190525,,,
A003421,"""""""順天堂""""大青葉濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130829,20190525,,,
A003423,"""""""明通""""黃柏濃縮粉""",濃縮粉劑,明通化學製藥股份有限公司第二廠,20130730,20190525,,,
A003424,"""""""明通""""薏苡仁濃縮粉""",濃縮粉劑,明通化學製藥股份有限公司第二廠,20130730,20190525,,,
A003425,"""""""明通""""陳皮濃縮粉""",濃縮粉劑,明通化學製藥股份有限公司第二廠,20130730,20190525,,,
A003426,"""""""明通""""車前子濃縮粉""",濃縮粉劑,明通化學製藥股份有限公司第二廠,20130802,20190525,,,
A003515,〞勝昌〞防風濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130806,20190525,,,
A003516,〞勝昌〞蔓荊子濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130709,20190525,,,
A003517,〞勝昌〞芎藭濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130717,20190525,,,
A003518,〞勝昌〞茵陳蒿濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A003661,〞勝昌〞荊芥濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A003719,"""""""順天堂""""地龍濃縮顆粒""",濃縮顆粒劑,順天堂藥廠股份有限公司新店廠,20130829,20190525,,,
A003744,〞勝昌〞香附濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A003800,〞勝昌〞山藥濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130717,20190525,,,
A003801,〞勝昌〞芡實濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130809,20190525,,,
A003802,〞勝昌〞前胡濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130806,20190525,,,
A003803,〞勝昌〞枇杷葉濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130806,20190525,,,
A003991,〞勝昌〞蒲公英濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130709,20190525,,,
A003992,〞勝昌〞澤蘭濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130802,20190525,,,
A003993,〞勝昌〞地骨皮濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130715,20190525,,,
A004021,〞勝昌〞蒼耳子濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130614,20190525,,,
A004022,〞勝昌〞紫蘇葉濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130813,20190525,,,
A004023,〞勝昌〞續斷濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130614,20190525,,,
A004079,〞勝昌〞麥芽濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130614,20190525,,,
A004080,〞勝昌〞鳳尾草濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130813,20190525,,,
A004081,〞勝昌〞烏藥濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130806,20190525,,,
A004082,〞勝昌〞澤瀉濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130813,20190525,,,
A004083,〞勝昌〞桂枝濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130805,20190525,,,
A004086,〞勝昌〞牛蒡子濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130709,20190525,,,
A004110,〞勝昌〞木瓜濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A004111,〞勝昌〞化石草濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A004114,〞勝昌〞黃水茄濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130812,20190525,,,
A004141,〞勝昌〞麥門冬濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A004142,〞勝昌〞甘草濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130709,20190525,,,
A004143,〞勝昌〞木通濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A004144,〞勝昌〞葛根濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130614,20190525,,,
A004235,〞勝昌〞木香濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A004236,〞勝昌〞黃芩濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130715,20190525,,,
A004615,"""東陽""柴胡濃縮散",濃縮散劑,東陽製藥股份有限公司,20130422,20190525,,,
A004616,"""東陽""白芍濃縮散",濃縮散劑,東陽製藥股份有限公司,20130422,20190525,,,
A004617,"""東陽""桔梗濃縮散",濃縮散劑,東陽製藥股份有限公司,20130507,20190525,,,
A004680,"""東陽""甘草濃縮散",濃縮散劑,東陽製藥股份有限公司,20130425,20190525,,,
A005042,〞勝昌〞藕節濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130605,20190525,,,
A005043,〞勝昌〞夏枯草濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130805,20190525,,,
A005044,〞勝昌〞石斛濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A005063,"""東陽""人參濃縮散",濃縮散劑,東陽製藥股份有限公司,20130425,20190525,,,
A005064,"""東陽""川芎濃縮散",濃縮散劑,東陽製藥股份有限公司,20130422,20190525,,,
A005065,"""東陽""黃蘗濃縮粉",濃縮散劑,東陽製藥股份有限公司,20130410,20190525,,,
A005149,〞勝昌〞橘紅濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130715,20190525,,,
A005150,〞勝昌〞浮海石濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130730,20190525,,,
A005151,〞勝昌〞萆薢濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130812,20190525,,,
A005152,〞勝昌〞艾葉濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130809,20190525,,,
A005153,〞勝昌〞蘇子濃縮散,濃縮散劑,勝昌製藥廠股份有限公司中壢廠,20130617,20190525,,,
A005154,"""東陽""澤瀉濃縮散",濃縮散劑,東陽製藥股份有限公司,20130410,20190525,,,
