----------
A002031209
A002089209
A003033212
A003160238
A003684100
A006514277
A007801499
A008977100
A009499100
A011631100
A013262421
A013399100
A013699277
A015367177
A015789100
A015933238
A016376212
A020996100
A021362100
A021648100
A030376100
A0305561G0
A034957421
A035254100
A035287321
A035287329
A035287330
A035633930
A036676100
A038966100
A0395671G0
A0396511G0
A040143100
A042389100
A043044100
A048471421
A049334421
A049445143
A050153100
A057241421
A057832421
A057904421
A057980416
A057980421
A057980423
A057980429
A058207100
A058229421
A058244100
A058330238
AA10654277
AA36418229
AA46016100
AA46640100
AA47469100
AA47644100
AA47702100
AA47792151
AA47813100
AA47960100
AA48007100
AA48352143
AA48757100
AA48879100
AA49061100
AA49116100
AA49226100
AA49288100
AA49500100
AA49543100
AA49835100
AA49920100
AA50431100
AA52337100
AA52339219
AA55020219
AA55272100
AA55545261
AA55557100
AA55585100
AA55904100
AA56318100
AA56320100
AA56689100
AA56739100
AA56761100
AA56800100
AA57140100
AA57318100
AA57343100
AA57380100
AA57381100
AA57769100
AA57774100
AA57805100
AA57956221
AA57974100
AA58055100
AB02368100
AB023681G0
AB03318100
AB033181G0
AB03552212
AB07641100
AB18251100
AB182511G0
AB19877100
AB211991G0
AB22903100
AB229031G0
AB23048209
AB24197100
AB241971G0
AB24924216
AB27928212
AB28533100
AB285331G0
AB29442100
AB29443100
AB294431G0
AB29551100
AB31034377
AB31086329
AB31447100
AB31889100
AB31990100
AB319901G0
AB32576216
AB32814100
AB32926100
AB329261G0
AB33064100
AB330641G0
AB33128100
AB331281G0
AB33387100
AB33411100
AB33544100
AB33698209
AB33698277
AB33829100
AB340871G0
AB34096100
AB340961G0
AB34110100
AB34364100
AB34736100
AB35054100
AB35179100
AB35665100
AB356651G0
AB361291G0
AB36248100
AB36485100
AB364851G0
AB38600100
AB39013100
AB40046100
AB40644100
AB408351G0
AB41070100
AB410701G0
AB41378100
AB413781G0
AB41535100
AB41606100
AB42619100
AB42855100
AB428551G0
AB43122151
AB432231G0
AB43265100
AB43622100
AB43657100
AB437001G0
AB43837100
AB43852100
AB43859100
AB43991100
AB439911G0
AB44331100
AB44829100
AB45279100
AB45387100
AB45392100
AB45415151
AB45415157
AB45438151
AB45438157
AB45492100
AB454921G0
AB45621100
AB45993100
AB46145100
AB46620100
AB46681100
AB47228100
AB47273100
AB47294100
AB47348100
AB47368100
AB47407100
AB47419100
AB47477100
AB47532100
AB47557229
AB47792166
AB47792177
AB47811100
AB47848100
AB47991100
AB48089100
AB48229100
AB48329248
AB48351100
AB48506100
AB48507100
AB48699209
AB48802265
AB48802277
AB48867100
AB48909100
AB48911265
AB48911277
AB48993245
AB49020100
AB49097100
AB49147209
AB49147212
AB49147277
AB49342100
AB49344100
AB49375220
AB493752AE
AB493752CX
AB49517100
AB49532100
AB49653100
AB49829100
AB50083100
AB50084100
AB50154100
AB50206151
AB50206157
AB50206163
AB50206164
AB50227100
AB50240100
AB50256209
AB50256265
AB50256277
AB52308100
AB52462100
AB52485100
AB524851G0
AB52615100
AB54966100
AB55041100
AB55258100
AB55264209
AB55264265
AB55264277
AB55275100
AB55406100
AB55555100
AB55557100
AB55564100
AB55585100
AB55991100
AB56626100
AB56718100
AB56731209
AB56731212
AB56731277
AB56776100
AB57107100
AB57178100
AB57194100
AB57204100
AB57206100
AB57217100
AB572171G0
AB57254100
AB57275100
AB57337100
AB57339100
AB57351100
AB57361100
AB57743100
AB57759100
AB57839100
AB57843100
AB57848100
AB57850100
AB57923100
AB57930100
AB57940100
AB57991100
AB58049100
AC00106100
AC00263209
AC00263277
AC00605321
AC00913100
AC01041100
AC01085209
AC01085255
AC01085265
AC01085277
AC01086209
AC01086277
AC01853277
AC02242100
AC02394238
AC02581277
AC02657209
AC02801209
AC02801277
AC02956100
AC03534100
AC03700212
AC03700229
AC041631G0
AC04462100
AC04475100
AC04778100
AC04815100
AC05062100
AC05247100
AC05272100
AC05669100
AC05712100
AC05757100
AC05857100
AC05858100
AC05860100
AC05865100
AC05874209
AC05886209
AC05889209
AC05891209
AC06373100
AC06645100
AC08169100
AC08505100
AC08526100
AC08928100
AC09211100
AC092111G0
AC09271277
AC09291100
AC092911G0
AC09615100
AC09619100
AC096191G0
AC09633255
AC09633266
AC09633277
AC09722100
AC09763100
AC09982238
AC09990212
AC09990221
AC10150212
AC10207100
AC10229100
AC10320277
AC10323100
AC10358100
AC103581G0
AC10365100
AC10452221
AC10721209
AC10721229
AC10830212
AC10917100
AC109171G0
AC11124100
AC11125100
AC111251G0
AC11136209
AC11150212
AC11193100
AC111931G0
AC11318100
AC11420229
AC11518100
AC11562100
AC11655100
AC11780212
AC11806100
AC11886277
AC11931100
AC11982100
AC11983100
AC124581G0
AC12527209
AC12527229
AC12694100
AC12763100
AC12831100
AC128311G0
AC13433100
AC13718209
AC13718277
AC13722500
AC14622212
AC14622221
AC14755100
AC14756216
AC14915329
AC14917100
AC14926212
AC15080329
AC151951G0
AC15268100
AC15407229
AC15561255
AC15561266
AC15561277
AC15629100
AC156291G0
AC15674100
AC15721100
AC15911209
AC16303421
AC16322100
AC16349321
AC16349329
AC16349335
AC16378100
AC16420100
AC16485100
AC16500100
AC169321G0
AC16963209
AC16963212
AC16963229
AC17138100
AC17185100
AC171851G0
AC17809100
AC178091G0
AC17859100
AC17877100
AC18061100
AC18063321
AC18063329
AC18063338
AC18088321
AC18088338
AC18132100
AC18232100
AC18342100
AC183421G0
AC18406100
AC18411100
AC18458100
AC18649100
AC18887100
AC18920100
AC19141100
AC19142100
AC19177100
AC19246100
AC19252100
AC19337100
AC193371G0
AC19506100
AC19553100
AC19556100
AC195561G0
AC19573100
AC19625100
AC196251G0
AC19627100
AC196271G0
AC19639100
AC196391G0
AC19656100
AC19865100
AC198651G0
AC19875100
AC19982100
AC19984100
AC199841G0
AC20022100
AC20037100
AC200371G0
AC20058100
AC20102321
AC20102323
AC20102329
AC20102335
AC20102336
AC20111100
AC201111G0
AC20115100
AC20257100
AC20276348
AC20276365
AC20276377
AC20279100
AC20287100
AC202871G0
AC20291100
AC20405100
AC20441421
AC20441429
AC20441435
AC20453212
AC20638209
AC20638277
AC20713100
AC207131G0
AC20715100
AC20758100
AC20846100
AC20860100
AC20871100
AC208711G0
